cat /sys/kernel/fvm/bec
bec_pba_page_count cat /sys/kernel/fvm/dedupe
Total Logical  Space  cat /sys/kernel/fvm/fec
FEC Active Count   dmesg
[18871.657319] cwtf:pba_index = 69094, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18871.673316] cwtf:pba_index = 218667, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 128854
[18871.679370] cwtn:pba_index = 128854, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 0
[18871.686815] cwtf:pba_index = 12472, retry_cnt=0, diskr_cnt = 0, Tag = 101, Next pba_index = 169900
[18871.692522] cwtn:pba_index = 169900, retry_cnt=1, diskr_cnt = 1, Tag = 102, Next pba_index = 0
[18871.718581] cwtf:pba_index = 164913, retry_cnt=0, diskr_cnt = 1, Tag = 104, Next pba_index = 0
[18871.730294] cwtf:pba_index = 44166, retry_cnt=0, diskr_cnt = 1, Tag = 102, Next pba_index = 0
[18871.747527] cwtf:pba_index = 199124, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18871.767731] cwtf:pba_index = 206322, retry_cnt=0, diskr_cnt = 1, Tag = 104, Next pba_index = 0
[18871.833857] cwtf:pba_index = 157690, retry_cnt=0, diskr_cnt = 1, Tag = 103, Next pba_index = 217970
[18871.842300] cwtn:pba_index = 217970, retry_cnt=1, diskr_cnt = 2, Tag = 105, Next pba_index = 149117
[18871.850381] cwtn:pba_index = 149117, retry_cnt=2, diskr_cnt = 3, Tag = 106, Next pba_index = 0
[18871.858066] cwtf:pba_index = 136704, retry_cnt=0, diskr_cnt = 0, Tag = 102, Next pba_index = 23463
[18871.864842] cwtn:pba_index = 23463, retry_cnt=1, diskr_cnt = 1, Tag = 103, Next pba_index = 0
[18871.876065] cwtf:pba_index = 167038, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 84442
[18871.885637] cwtn:pba_index = 84442, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 0
[18871.895246] cwtf:pba_index = 38034, retry_cnt=0, diskr_cnt = 1, Tag = 104, Next pba_index = 0
[18871.918164] cwtf:pba_index = 105821, retry_cnt=0, diskr_cnt = 1, Tag = 103, Next pba_index = 146489
[18871.923113] cwtn:pba_index = 146489, retry_cnt=1, diskr_cnt = 2, Tag = 104, Next pba_index = 0
[18871.946276] cwtf:pba_index = 161114, retry_cnt=0, diskr_cnt = 1, Tag = 104, Next pba_index = 0
[18872.028436] cwtf:pba_index = 223542, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18872.043222] cwtf:pba_index = 182572, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18872.055493] cwtf:pba_index = 131074, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18872.068446] cwtf:pba_index = 170298, retry_cnt=0, diskr_cnt = 1, Tag = 103, Next pba_index = 227595
[18872.070330] cwtn:pba_index = 227595, retry_cnt=1, diskr_cnt = 2, Tag = 104, Next pba_index = 0
[18872.087622] cwtf:pba_index = 186222, retry_cnt=0, diskr_cnt = 1, Tag = 102, Next pba_index = 0
[18872.105968] cwtf:pba_index = 13057, retry_cnt=0, diskr_cnt = 1, Tag = 105, Next pba_index = 0
[18872.122975] cwtf:pba_index = 38118, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 123931
[18872.131728] cwtn:pba_index = 123931, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 0
[18872.140670] cwtf:pba_index = 145474, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 137262
[18872.150037] cwtn:pba_index = 137262, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 0
[18872.157953] cwtf:pba_index = 69511, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18872.176703] cwtf:pba_index = 126609, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18872.250093] cwtf:pba_index = 105365, retry_cnt=0, diskr_cnt = 1, Tag = 102, Next pba_index = 0
[18872.267682] cwtf:pba_index = 148042, retry_cnt=0, diskr_cnt = 1, Tag = 104, Next pba_index = 166582
[18872.273890] cwtn:pba_index = 166582, retry_cnt=1, diskr_cnt = 2, Tag = 105, Next pba_index = 0
[18872.289998] cwtf:pba_index = 101767, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18872.313149] cwtf:pba_index = 132807, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 119697
[18872.324429] cwtn:pba_index = 119697, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 0
[18872.332085] cwtf:pba_index = 70286, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18872.345597] cwtf:pba_index = 115701, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18872.369010] cwtf:pba_index = 211048, retry_cnt=0, diskr_cnt = 1, Tag = 102, Next pba_index = 46200
[18872.377540] cwtn:pba_index = 46200, retry_cnt=1, diskr_cnt = 2, Tag = 103, Next pba_index = 0
[18872.441469] cwtf:pba_index = 61133, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18872.452773] cwtf:pba_index = 159967, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 198112
[18872.452779] cwtn:pba_index = 198112, retry_cnt=1, diskr_cnt = 1, Tag = 103, Next pba_index = 35902
[18872.462574] cwtn:pba_index = 35902, retry_cnt=2, diskr_cnt = 2, Tag = 104, Next pba_index = 0
[18872.467229] cwtf:pba_index = 107745, retry_cnt=0, diskr_cnt = 1, Tag = 103, Next pba_index = 203372
[18872.470993] cwtn:pba_index = 203372, retry_cnt=1, diskr_cnt = 2, Tag = 104, Next pba_index = 0
[18872.487246] cwtf:pba_index = 38758, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18872.506145] cwtf:pba_index = 41338, retry_cnt=0, diskr_cnt = 1, Tag = 102, Next pba_index = 0
[18872.525520] cwtf:pba_index = 83200, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18872.602547] cwtf:pba_index = 69281, retry_cnt=0, diskr_cnt = 1, Tag = 103, Next pba_index = 125300
[18872.613149] cwtn:pba_index = 125300, retry_cnt=1, diskr_cnt = 2, Tag = 104, Next pba_index = 0
[18872.620086] cwtf:pba_index = 203325, retry_cnt=0, diskr_cnt = 1, Tag = 104, Next pba_index = 6127
[18872.626642] cwtn:pba_index = 6127, retry_cnt=1, diskr_cnt = 2, Tag = 105, Next pba_index = 0
[18872.644117] cwtf:pba_index = 42971, retry_cnt=0, diskr_cnt = 1, Tag = 102, Next pba_index = 127849
[18872.647065] cwtn:pba_index = 127849, retry_cnt=1, diskr_cnt = 2, Tag = 103, Next pba_index = 173493
[18872.657004] cwtn:pba_index = 173493, retry_cnt=2, diskr_cnt = 3, Tag = 104, Next pba_index = 0
[18872.661404] cwtf:pba_index = 41942, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 48951
[18872.666653] cwtn:pba_index = 48951, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 170513
[18872.673882] cwtn:pba_index = 170513, retry_cnt=2, diskr_cnt = 3, Tag = 103, Next pba_index = 0
